file_name,file_origin,text
EFTA02209722.pdf,data-set-11-files-19,"To:        Larry Visoski Larry
From:
Sent       Thur 4/6/2017 1:14:59 PM
Subject:   Re: Airline

welcome—

> On Apr 6, 2017, at 9:13 AM, Larry Visoski                wrote:

> Many many thx !!!!
•

> Sent from my iPhone

>> On Apr 6, 2017, at 2:11 PM,                                      wrote:

>> done-canceled other flight I booked last night

>>> On Apr 6, 2017, at 8:48 AM, Larry Visoski                 wrote:
>»
>>> I heard EasyJet has a 7:30pm departure to Marrakesh- CDO„
>>>
>» 4:10pm
>>> Transavia, Airlines
>» Also to Marrakesh- Orly
>>>
>» Sent from my iPhone
>>>
»» On Apr 6, 2017, at 1:45 PM,                                       wrote:
>>>>
>>» Ha. Too funny. This is latest flight in. A real airline. I don't know if
they have little airlines there?
>>>>
»» Sent from my iPhone
>>»
>»» On Apr 6, 2017, at 8:43 AM, Larry Visoski                   wrote:
>>>>>
>>>» Can you book a ticket for Daddi to Paris from Marrakesh?? Tonight?
>>>>> Can you help???
>>>»
>»» Sent from my iPhone
>>>
>>




                                                                             EFTA_R1_00928880
                                                                                EFTA02209722
"
EFTA02212883.pdf,data-set-11-files-19,"To:
Cc:
Fran:   Lesley Groff
Sent    Tue 5/3012017 12:05:38 PM
Subject Re: Snacks at noon with Maxim and his mom?

Thank you!

Sent from my iPhone

On May 30, 2017, at 8:01 AM,                                             wrote:


       Sure thing!

On Tue, May 30, 2017 at 8:00 AM Lesley Groff a                        wrote:

        Morning! Can you organize the below for 12:00 today please?

Sent from my iPhone

Begin forwarded message:


              From: ""Jeffrey E."" ‹                 >
Date: May 30, 2017 at 7:48:36 AM EDT
To: Lesley Groff
Subject: Re: Snacks at noon with Maxim and his mom?


               yes, cookies or small cakes. tea

On Tue, May 30, 2017 at 7:43 AM, Lesley Groff                          wrote:

                Do you want snacks at the noon appt today with Maxim and his
                mom?

Sent from my iPhone




     please note
The information contained in this communication is
confidential, may be attorney-client privileged, may
constitute inside information, and is intended only for
the use of the addressee. It is the property of
JEE




                                                                                  EFTA_R1_00938289
                                                                                     EFTA02212883
 Unauthorized use, disclosure or copying of this
communication or any part thereof is strictly prohibited
and may be unlawful. If you have received this
communication in error, please notify us immediately by
return e-mail or by e-mail to jeevacationegmail.com, and
destroy this communication and all copies thereof,
including all attachments. copyright -all rights reserved




                                                            EFTA_R1_00938290
                                                               EFTA02212884
"
EFTA02212885.pdf,data-set-11-files-19,"To:
From:
Sent:       Mon 4/24/2017 4:    :56 PM
Subject:    Re: Itinerary for               27APR17

Lesley can you send me please , new ticket back to Moscow ?
nit, 24 anp. 2017 r. B 12:06, Lesley Groff

  check in prior to going to airport to get yourself a scat...it is under airport control...


           On Apr 24, 2017, at 11:58 AM,
           wrote:

Thank you Lesley
nu, 24 anp. 2017 r. B 11:56, Lesley Groff

           Hi       ...here is your ticket to come back to NY on Thursday April
           27th...please confirm back receipt...thanks!


                 Begin forwarded message:


                 From: ""American Ex ress Travel""
                 <                     avel
                 Subject: Itinerary fo                27APR17
                 Date: A ril 24 2017 at 10:51:01 AM EDT
                 To:

DO NOT REPLY TO THIS EMAIL. This message was sent from a
          notification only address that cannot accept incoming
          messages. If you have any questions, please contact
          Centurion Travel Service at 1-877-877-0987.

If airline tickets are purchased for this itinerary:
Airline Baggage Fee/Rules may apply and can be accessed by visiting:
https://mvamextravel.com/baggage

Your travel arrangements are outlined below in the email. Please refer
               to the PDF attachment and itinerary for more details
               regarding your travel arrangements. Your Centurion Travel
               Service travel plans have been posted to a secure website.
               Please click on the link to view your trip details and add link
               to your bookmarked favorites for easy access in the future:




                                                                                               EFTA_R1_00936296
                                                                                                  EFTA02212885
               American Express Travel
              Record Locator




Thursday 27 Apr 17

Other Information
              CITIZENS OF RUSSIAN FEDERATION MUST CARRY A VALID PASSPORT


Flight Information
              Date                      27 Apr 2017
              Airline                   American Airlines
              Airline Record Locator
              Flight/Class              AA 936 Q Economy Class
              Origin                    Charlotte Amalie, Cyril E King Airport
              Destination               New York, John F Kennedy International
              Departing                 02:15 PM
              Arriving                  06:32 PM
              Arrival Terminal          Terminal 8
              Estimated Time            4 Hrs 17 Mins
              Stops                     Non-stop
              Seats                     Unassigned
              Confirmed

Entry and Exit Information for Travel

American Express strongly recommends that you periodically review
www.Visacentral.com/amex for the most up to date and accurate entry/exit
requirements for your travel destination. Due to frequent changes, American Express
cannot guarantee the accuracy of the information provided and expressly disclaims any
liability for any inaccurate or incomplete information contained on that site.


You may receive customer service emails even if you have requested not to receive
email marketing offers from American Express. For details about our e-mail practices,
please review the American Express Privacy Statement at
www.americanexpress.com/orivacv




                                                                                 EFTA_R1_00936297
                                                                                    EFTA02212886
 See attached itinerary PDF or link for full terms and conditions.

PDF itinerary attachment:
If you are unable to view the PDF attachment, ensure you have Adobe Acrobat Reader.
Refer to website below to download and install this free software.

http://www.adobe.com/products/acrobat/readstep.html

Thank you for choosing American Express Centurion Travel Service and have a
pleasant trip.

Please be advised that certain mandatory hotel-imposed charges, including, but not
limited to, daily resort or facility fees, may be applicable to your stay and payable to the
hotel operator at check-out from the property. You may wish to inquire with the hotel
before your trip regarding the existence and amount of such charges.

Liability Statement. American Express Travel Related Services Company, Inc. and its
parent, subsidiaries, affiliates and representatives (collectively, ""Amex"") act as an agent
for travel suppliers and you understand and agree that Amex shall not be liable for any
loss, injury, expense or damage to persons or property resulting, directly or indirectly,
from (1) the acts of omissions of travel suppliers, including but not limited to delays,
overbooking's, cancellation of services, cessation of operations, accidents or failures of
equipment, or changes in fares, itineraries or schedules; or (2) acts of God, fires,
earthquakes, floods, climatic aberrations, acts of governmental authorities, civil unrest,
strikes, riots, theft, disease, accidents or failures related to the public internet,
telecommunications lines or facilities, or third party technology systems, or any other
cause beyond the control of Amex.

Intermediary Disclosure. Amex assists you in finding travel suppliers and making
arrangements that meet your individual needs. We consider various factors in
identifying travel suppliers to you and recommending specific itineraries. In this role, we
are acting as an independent third party and not as a fiduciary. We want you to be
aware that certain suppliers pay us commissions as well as incentives for reaching
sales targets or other goals, and from time to time may also provide incentives to our
travel counselors. Certain suppliers may also provide compensation to us for various
marketing and administrative services that we perform for them, such as granting them
access to our marketing channels, participating in marketing programs and supporting
technology initiatives. In addition, we receive compensation from suppliers when
customers use the American Express Card or other American Express products to pay
for supplier products and services. From time to time we may enter into other business
relationships with suppliers and these arrangements, including levels and types of
compensation and incentives we receive, are subject to change. In identifying suppliers
and recommending itineraries, we may consider a number of factors, including supplier
availability and your preferences. The relationships we have with suppliers may also
influence the suppliers we identify and the itineraries we recommend.




                                                                                    EFTA_R1_00936298
                                                                                       EFTA02212887
 California State Seller of Travel Registration Number: 1022318. Washington State
Seller of Travel Registration Number: UBI#600469694. Iowa: TA# 669 Registered Iowa
Travel Agency.




                                                                           EFTA_R1_00936299
                                                                              EFTA02212888
"
EFTA02212889.pdf,data-set-11-files-19,"To:           fffr      in ' I/   i n   mil. oml
Cc:                                           ' merwin dela cruz          ; Jojo
F nt nill

From:       Lesley Groff
Sent        Thur 5/18/2017 4:49:16 PM
Subject:    Brad Karp

Brad Karp will join the Kathy Ruemmler meeting tomorrow at 5:30pm_he says he can
stay for about an hour but must leave to introduce someone at a dinner in midtown
at 6:45pm...




                                                                          EFTA_R1_00936301
                                                                               EFTA02212889
"
EFTA02212890.pdf,data-set-11-files-19,"To:
From:
SubjectAlert -     g t to   est a m eac

May 21, 2017 10:20 AM : Flight to West Palm Beach (DL 898)

To see detailed information for automatically created events like this one, use the official Google
Calendar app. https://g.co/calendar

This event was created from an email you received in Gmail.
https://mail.google.com/mail?extsrc=cal&plid=ACUX6DPFD8cCB7np7TLsB_ I YjItIrS3uOeiclQ
0




                                                                                           EFTA_R1_00938302
                                                                                              EFTA02212890
"
EFTA02212891.pdf,data-set-11-files-19,"To:
From:
Subject    ert - car or      to go to airport tomorrow or ojo? rec Ioc#BJCFSS

April 27, 2017 6:30 AM : car for        to go to airport tomorrow or Jojo? rec loc#BJCFSS




                                                                                     EFTA_R1_00938304
                                                                                            EFTA02212891
"
EFTA02212892.pdf,data-set-11-files-19,"To:        Lar    Visosk
From:
Sent:      Tue 5/9/2017 4:37:28 PM
Subject:   Re: 301

Checking!        I think so

Sent from my iPhone

> On May 9, 2017, at 11:42 AM, Larry Visoski a              wrote:

> Hi
> Any chance for two apartments at Apt 301 for tonight and tomorrow?
> Me and my new pilot Chip,.
> LMK
> Thx
> Larry

> Sent from my iPhone




                                                                       EFTA_R1_00936308
                                                                          EFTA02212892
"
EFTA02212893.pdf,data-set-11-files-19,"To:     Jefffrev Epsteinlieevacationc gmail.corn)
From:
Sent    Tue                3:59 PM
Subject Matthew Hilfzik

Matthew unfortunately cannot make a May 2nd appt...his first availability is Friday May 5th at
4:30 (we have been going back and forth on this all day). He and his colleague, Ben Sosenko, are
confirmed to come see you at 4:30pm on Friday May 5th..

Fri. .11(0. 5, 2017 NY



4:30pm .Ippi             11111:71, ,m,1 his colleague, Ben Sosenko



6:30pm Doors Open for Terje's Opening of: Oslo

7:00pm Performance ofOslo

Lincoln Center Theater's Broadway Production

At the Vivian Beaumont Theater at Lincoln Center

150 West 6, Street (between Broadway & Amsterdam)

YOUHAVE 4 SEATS

Jojo to drive you!!!




                                                                                       EFTA_R1_00938312
                                                                                          EFTA02212893
"
EFTA02212894.pdf,data-set-11-files-19,"To:
From:
Sent:      Wed 5/3/2017 12:40:05 PM
Subject:   Re: [External] Jeffrey Epstein

Ok. Thx.
... I'm so ready for nice Weather on a daily basis!

Sent from my iPhone

> On May 3, 2017, at 8:32 AM, Melanie Spinella                          wrote:

> Such a nice day - I haven't seen him yet -he landed this morning - he has not
said anything

•      Original Message
> From:
> Sent: Wednesday, may 03, 2017 7:41 AM
> To: Melanie Spinella
> Subject: Re: (External] Jeffrey Epstein

> Hi Melanie. Anything from Leon re coming to see Jeffrey either late today or
sometime tomorrow? (Such a pretty day!!)

> Sent from my iPhone

>> On May 2, 2017, at 8:40 AM, Melanie Spinella                          wrote:

»   Good morning.      Sorry no!

>> Sent from my iPhone
>>
>» On May 2, 2017, at 7:32 AM,                                        wrote:
>»
>>> Morning! Circling back... any word re Leon coming to see jeffrey either wed
or thurs this week?
>»
>>> Sent from my iPhone
>»
>>» On Apr 28, 2017, at 8:34 AM, Melanie Spinella                            wrote:
>>>>
»» Nope!
>>»
>>>>        ' ' a       sa
>>>> From:
»» Sent: ri ay, pri                  •
>>>> To: Melanie Spinella
>>» Subject: (External) Jeffrey Epstein
>>»
>>>> Morning Melanie...did you hear back from Leon re a meeting with Jeffrey next
Wed. or Thursday? Might something work?
>>»
>>>>
»» This email and any files transmitted with it are confidential and intended
solely for the person or entity to whom they are addressed and may contain
confidential and/or privileged material. Any review, retransmission,
dissemination or other use of, or taking of any action in reliance upon this
information by persons or entities other than the intended recipient is
prohibited. If you have received this email in error please contact the sender
and delete the material from any computer. Apollo Global Management, LLC




                                                                            EFTA_R1_00936314
                                                                                 EFTA02212894
 » This email and any files transmitted with it are confidential and intended
solely for the person or entity to whom they are addressed and may contain
confidential and/or privileged material. Any review, retransmission,
dissemination or other use of, or taking of any action in reliance upon this
information by persons or entities other than the intended recipient is
prohibited. If you have received this email in error please contact the sender
and delete the material from any computer. Apollo Global Management, LLC
> This email and any files transmitted with it are confidential and intended
solely for the person or entity to whom they are addressed and may contain
confidential and/or privileged material. Any review, retransmission,
dissemination or other use of, or taking of any action in reliance upon this
information by persons or entities other than the intended recipient is
prohibited. If you have received this email in error please contact the sender
and delete the material from any computer. Apollo Global Management, LLC




                                                                          EFTA_R1_00936315
                                                                             EFTA02212895
"
EFTA02212896.pdf,data-set-11-files-19,"To:
From:
Sent        on             :53:42 PM
Subject    Re: Print Welcome Letter for 7J for Bobby Slayton

Morning;)
Will do!

On Mon, May 22, 2017 at 7:16 AM                                         wrote:


Morning MI    Can you please print this welcome letter for Bobby Slayton for 7J...he arrives
 on Wed. May 24th! OK? :)




                                                                                     EFTA_R1_00836319
                                                                                          EFTA02212896
"
