file_name,file_origin,text
EFTA00000001.pdf,data-set-1-files-1,") Tr
l
TT Ea ee
elas GUD #3
bare ae o | ae Rey , ,
Se i
| CASE ID 3/E-NY- 309757 — eB i
| LOCATION 4 Zot ll"" ot ae , | =
: New York. : WY A —EEEE eee | r
d | id
EFTA00000001
"
EFTA00000002.pdf,data-set-1-files-1,"— PANIC SMS mt xe
ee rn ee
shoe i nd a tee oF ad em
J P be j | a f L ie ce
Bi ie | +c
ty ms a ; ‘; i
j % \ rik a ’ ad j
ot i ' :
: FS LF . , . 4 rei
, : Be , ——=—_— | a
S / ai: joeiaeeecannie -
( ; ed |
= mL i | q
Aa, Th:
i) i ‘ | | re - ;
| = | L sill a | ? oe
in | 4 I) if My | +7,
F fj We : 4 ;
§ one | | | : | | : : .
j “se : ' | . : omic «OF i "" t
# Fl — . i= | 3
i 7 J ito *
* a! é LO @
— ¥ nt 4 ¥ 4
oe a | } Ne > 4, Res z
a! —— — rans = Te, Ms! an 4
| ee i : : , —
EF TAQOOO0002
"
EFTA00000003.pdf,data-set-1-files-1,", a . ee . L if i) ’
4 * q ( r - i F ‘bce # 7 . i ‘ |
- ma 5 4 es : ¥ -_ A - ""
hela f at
+ r he “a= Me
— oe Sy net
“4 irae
ee
ie cae
“Se Hag
bas
ae
| wy
—-
7 4
| : A } 4
ed ¥ S
EF T AOQOO0003
"
EFTA00000004.pdf,data-set-1-files-1,"‘ -? . ae | é . | en gt |
: . ; ; ie q | )
1 at . ie, 2 F i F
, 4m ' E = 4 - I
ie: : ! ; . - . | |
healt : "" i i ro i
, fi zr” : j
é a | 4 4 4 |
‘a x na |
oP ee 1 | | i
ee | mii || ‘et
aa Ft |
i "" I 1
i: : E Fi i
4 ib a : ‘a
aif ' i
: ay |
ee | |
. 4
 F { z
’ : :
; r
z ae e ""
pair: }
= ie : i ls
i +
sy \ i g
a. :
é |,
ae ' ii _
us ks, 7 te ei
a sate \
*
ie : 4 rs a i
1g | \. :
thy 3 oe:
i ; 2
. ae
as . aad i
ne Pee re! a
: , ro a : ; * . 2 : i 1 ae Ei o oy J
fo Fae \ a
a oe hr ee re eS
EF TAQOO00004
"
EFTA00000005.pdf,data-set-1-files-1,"F Ss ol lL
a hae ut
1, 5 es
| ; ct
a
Fa by
: “a
| | s
o a
T i a
a 7 ‘a
I i ‘| ‘)
ha! i i rc, ae Ea
i f/ 4 eeu an ; oa
f ey i = z
j : j TC : i si a7 .
f i? ii | : OG cae . be
¥ i feo) ¢,, =
‘ ei f [ Ibi ; gE x ""
Mi el EEE = ae
' > | Pi Taio} Fees =
; i i : :
{ | | j Ce ! ~ 2
? | 0 Aa aa | ‘A FY j oa | i w
: ! if a 7 - - : .
( , a j ’ —_ i ' 1%, ° ‘ a
j i ae : é 7 i ; ‘ie a a
‘ i bah “ak See
a i : i : ; a te ri
Pied >t... | ie | a
EF TAQOOO0005
"
EFTA00000006.pdf,data-set-1-files-1,"\\ WERDER Ty.

J a Wy i i] Ni ) | |
iY \e Vo Ht VE A

\ AY yal | | | i il ii | ma | ty

AA WORRA SR RRMMERT fl {gy

VA

eee AWE ee avai al TTGLELE Go aE eT ae :

i * \ \! | i | i) i i i | Ba! i i 4 !
my i WL I he te ea |
ms | | i it wh Mey j i ai ya |

Wy vy Wh Wwe li eMialh [ aA | |
A | | 1 | | Hip Pals RE i ay
a ht Vid , INL: WF Be adi | ‘|
he Hit SM) K at i 4 en | 4

| i ‘ | |. Ny 4 \ i . | Ht |

1] Vee | ie | peo eh | |

i it bh ae | a y \ : Aya) i i |

) Tee ee el | \\\| {| i Wry DSF Tees |

He hee Oe a i : Aint! | bi or |

VEEd | ! eae \ oat | Hil tu if! th ae |
me. Be :
ov TR Vek TRG Fi ye So ie | lille
wot FO mee II Wh) OE ae :

ae) 4 } | Wei) MN:

haat | He UF i HH eae”

. : Vay : 1) Hi | | a !

\ \y |
EF TAQQOQO0006
"
EFTA00000007.pdf,data-set-1-files-1,"iy: eae }
| 4 A f i )
a | bi ily 1 Wht 4 |
Vi Li ', A it | ial
| ae Bhi A | !
ra i AW Hi) ‘| ‘t yA | (| | hl
me WANG i
| ; 4 vi HY i Mace ii ; Bl) | f
by mh h Al Bi HI 4 i iy ey
| | A | Ni Wi i : tH
OMA, ih) DPA uk
* | \ | | I | ; | ny | fa
, BM fh) KWAI RA hc
) at A eat ii ] : ii Hit, Ae | i
| i | | iii Hh) rag | ‘
| ; | | ti | | ae
ah If /q i : it Here |
NEE |p , Wahi Har |
ti y ) \\ | Ay Lae lo i. il Hl
™ | | } If : iy 7 ""
- >) We i We 2 ee be
aeGal: We, Ms et
) rh Da i 4 a
|) RN eee HAH ay } \ eee
hy ie : it A a N nN
Ha via \ i bit ; 4 a : | Cee
ee eee) em | | '
ae ae oy) tae hy Tl eee
S| ee mae Lt tit if. | f
a ree t! vu avn Y } |
ren a ve a | .
Pats | Eiht fail ne i | )
ah: Pina ae Li : | . i ay
. ' . a Jk i \=
4 am by ti : | . | = \
| Ne
nw) be 11) Hs * \ ' Wass .
Aa A Hi) A
EF T AOOO00007
"
EFTA00000008.pdf,data-set-1-files-1,"ee
—_ a = '
-- —-
i
3
[
c—!) lk
a . ee er
a yb Sean Re |
_—- ri ee hae Fe
‘ Wi eis
hia eR se
- a 4 :
t+ = os
oF
""1 i) i
why
hh i ae
\ Ae = ni | | i
i ti cae TA i)
1 eh ti \ r \
‘ an, | |
\ n't 4 :
i. : |
, “y \ ; i} d ih
= ay | 1
4 a |
Bit)
mae ya
f | \) i AV
— 3 \ ‘i
\ ik
na 4 |
i i |
Vai
| | ‘ Tie |
\\ an
VM
|
- : 4
|
i: ; ee .
Tae
ae “a
; ll om
7 ‘ a # i -
—
EF TAQOQOQQO0008
"
EFTA00000009.pdf,data-set-1-files-1,"<r Nes 2S
hs ‘ i
} 4
’ ——n y, ,
‘ih
. “ f ifr iA, bs
» 3
A hats
Pes ie
a 14
i ian AA
a |"" i |
re:
3 . n't
ry} BA
\ ay a |i . Fis
OR
\ ia L | ,
Ve
‘ : t 4 ri
ay Ce ut)
i at
{
.
i . :
| : EFTA00000009
"
EFTA00000010.pdf,data-set-1-files-1,"Ben ft Pee
+ , - Bay eS
"" ia F ‘ a
; 3 a. ee ee mar. '
) “ anal 7 ee —"" i se tle elle ee ae F . ray . } ;
bi \ | j | ae *\
% 4 | wi al | ieaaients 7 . . i ih ' fs
: ’ 4 : ee | . ; : am in
3 7 ~*~ | | i ‘ —
i ’ oe a, : ae:
. 2, : 7 ae. oa ny ;
pe ie ' f
Ag oe = |
; bop |
| om”
a)
EF T AQOO00010
"
