file_name,file_origin,text
EFTA02830775.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,"To:      Villafana, PeonKarie,p (t1W,I...5)(Aigoa.MariAia segdoi.govL.
From:    Nakano, Sb-t    /8--WNOOLPIIVST'ABMI                 ogP/C1tAldeigigkNARRRANetfl2)
Sent:    Thur 6/14/2007 5:23:41 PM (UTC)
Subject: RE: A question regarding a very old case
COMPLAIN.03.wod
EJECT2.BRF.wpti
PECISION.02.wod
DECISION.01.wpd




Attached is a copy of the complaint, summary judgment brief and court's decisions. Please let me know if you need any
further info. Good luck!

Serene
212-510-0505




From: Villafana, Ann      C. (USAFLS) (maifto:Ann
Sent: Tuesday, June 12, 2007 3:40 PM
To: Nakano, Serene
Subject A question regarding a very old case


Hi Serene — I saw that you were the AUSA who worked on a case several years ago against Jeffrey Epstein involving the
lease of a former embassy. Do you remember anything about the case that you might be willing to share?

A.        Villafana

Assistant U.S. Attorney

500 S. Australian Ave, Suite 400

West Palm Beach, FL 33401

Phone 561 209-1047

Fax 561 820-8777




                                                                                                        EFTA02830775
"
EFTA02831139.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,"        Case 1:20-cr-00330-PAE              Document 204-6             Filed 04/16/21           Page 1 of 2



From:             Kramer. Amanda fI !SAWS)
To:               jllckant. Edward fUSANYS8 fames.       fI ICANYS,1; Kurland Abram! fUSANYS1
Subject:          FW: Virginia Guiffre
Date:             Friday, November 30, 2018 4:01:53 PM




From: Peter Skinner <PSkinner@BSFLLP.com>
Sent: Tuesday, March 8, 2016 12:28 PM
To: Kramer, Amanda (USANYS) <AKramer@usa.doj.gov>
Cc: StanPottinger@aol.com; brad@pathtojustice.com; Sigrid McCawley <Smccawley@BSFLLP.com>
Subject: RE: Virginia Guiffre

Amanda,


If you haven't already seen it, the Post reported today on Jeffrey Epstein's continued
relationships with young women.


htto•//oagesix com/2016/03/08/jeffrev-eosteins-east-side-mansion-houses-russian-
playmates/


Best,
Pete




From: Peter Skinner
Sent: Monday, February 29, 2016 10:13 PM
To: Amanda Kramer
Cc: StanPottingerr&aol com; firadenathtojustice.corn; Sigrid McCawley
Subject: Re: Virginia Guiffre

Amanda,

I am adding Sigrid McCawley to this email chain as well. As we mentioned earlier today, Sigrid is one of the
lead attorneys on the case and knows both Virginia and the facts very well. Please include Sigrid in any
follow-up that you may.

Best,
Pete



From: Peter Skinner <pskinnerPbsfflo corn>
Date: Monday, February 29, 2016 at 10:03 PM
To: Amanda Kramer grnanda kramerPusdoj gov>




                                                                                                              EFTA02831139
         Case 1:20-cr-00330-PAE                      Document 204-6                  Filed 04/16/21              Page 2 of 2


Cc: ""StanPottingerPaol coat"" <StanPnttingerPaol com> ""brarlPnathtojustire corn""
<brad (dnathtojustice corn>
Subject: Virginia Guiffre


Amanda,


Thank you again for meeting with us today. We very much appreciate your time. I am attaching the
following documents for your review:


1. Complaint in the defamation case against Ghislaine Maxwell (just today, Judge Sweet denied Maxwell's
motion to dismiss today);
2. Declarations that Virginia filed in the CVRA case;
3. The Rule 56.1 statement recently filed in the CVRA case;
4. The redacted 302


Please let us know what other information we can provide or if you have any further questions.


Best,
Pete




The information contained in this electronic message is confidential information intended only for the use of the named recipient(s) and
may contain information that. among other protections. is the subject of attorney-client privilege. attorney work product or exempt from
disclosure under applicable law. If the reader of this electronic message is not the named recipient. or the employee or agent responsible
to deliver it to the named recipient, you are hereby notified that any dissemination, distribution. copying or other use of this
communication is strictly prohibited and no pnvilege is waived. If you have received this communication in error, please immediately
notify the sender by replying to this electronic message and then deleting this electronic message from your computer. Nil




                                                                                                                                      EFTA02831140
"
EFTA02831141.pdf,court-records-united-states-v-maxwell-no-120-cr-00330-sdny-2020-1,"       Case 1:20-cr-00330-PAE                Document 204-7               Filed 04/16/21   Page 1 of 2



From:             Kramer Amanda (USANYSI
To:               Mad. Alison (USANYSI: Fljadmiller Alexander 1U   NYS1
Subject:          FW: Contact Info            (fromM
Date:             Thursday, December 6, 2018 1:40:33 PM
Attachments:      20160502 193023

FYI


From: StanPottinger@aol.com <StanPottinger@aol.com>
Sent: Tuesday, May 3, 2016 12:02 PM
To: Kramer, Amanda (USANYS) <AKramer@usa.doj.gov>
Cc: Brad@pathtojustice.com; Smccawley@BSFLLP.com
Subject: Fwd: Contact Info                   (from

Amanda:

Yesterday I spoke of            whom                  describes as a ""scour or recruiter of girls
and/or women for J.  pstein.Attached tot is incoming email from       is the contact information he
has for=

Best regards,

Stan


  From:
  To: StanPnttinger anl c n
  Sent: 5/3/2016 11:13:15 A.M. Eastern Daylight Time
  Subj: (no subject)




  Sent from my Samsung Galaxy smartphone.




                                                                                                         EFTA02831141
